Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-07-23,ONGC,EQ,82.6,82.5,83.85,82.05,82.5,82.65,83.0,14674735,121804769905000.0,59126.0,4509001.0,0.3073
2020-07-24,ONGC,EQ,82.65,82.1,82.4,80.25,81.25,81.0,81.15,10000517,81153172810000.0,52492.0,3200186.0,0.32
2020-07-27,ONGC,EQ,81.0,81.4,82.0,80.1,80.6,80.8,81.19,8511120,69100741470000.01,38995.0,2185319.0,0.25680000000000003
2020-07-28,ONGC,EQ,80.8,81.0,81.25,79.3,80.1,79.9,80.04,10618186,84983223360000.0,52922.0,3603750.0,0.3394
2020-07-29,ONGC,EQ,79.9,79.8,80.7,79.3,79.5,79.5,80.04,9906214,79287819840000.0,42330.0,3214585.0,0.3245
2020-07-30,ONGC,EQ,79.5,80.0,80.4,77.5,77.65,77.7,78.6,9671441,76016191180000.0,58510.0,3666999.0,0.37920000000000004
2020-07-31,ONGC,EQ,77.7,77.95,78.85,77.15,78.45,78.3,77.98,10965340,85506983795000.0,50727.0,3962363.0,0.3614
2020-08-03,ONGC,EQ,78.3,78.35,78.5,75.55,75.75,75.9,76.63,11874519,90992754390000.0,56674.0,5645207.0,0.4754
2020-08-04,ONGC,EQ,75.9,76.3,77.7,75.9,76.25,76.1,76.75,13370396,102615496375000.0,52090.0,3960988.0,0.2963
2020-08-05,ONGC,EQ,76.1,76.5,77.5,76.3,77.2,76.95,77.01,9078922,69919439979999.99,34632.0,3104930.0,0.342
2020-08-06,ONGC,EQ,76.95,77.85,79.95,77.05,78.1,78.05,78.5,26386804,207134466565000.0,87080.0,5268795.0,0.1997
2020-08-07,ONGC,EQ,78.05,78.15,79.4,78.1,78.6,78.65,78.74,11787233,92816253085000.0,48569.0,2837568.0,0.2407
2020-08-10,ONGC,EQ,78.65,79.5,79.75,78.9,79.15,79.05,79.29,7067873,56042575025000.0,33701.0,2685031.0,0.3799
2020-08-11,ONGC,EQ,79.05,79.55,80.0,78.2,78.45,78.45,78.9,10835770,85498191110000.0,42914.0,4286466.0,0.3956
2020-08-12,ONGC,EQ,78.45,78.45,79.1,77.7,78.25,78.1,78.3,10482298,82077807870000.0,44648.0,3240210.0,0.3091
2020-08-13,ONGC,EQ,78.1,78.55,79.45,78.4,78.7,78.6,78.84,7316685,57687785654999.99,37033.0,2562990.0,0.3503
2020-08-14,ONGC,EQ,78.6,78.7,78.95,76.95,77.25,77.1,77.79,11637195,90521826375000.0,53808.0,4363018.0,0.3749
2020-08-17,ONGC,EQ,77.1,77.5,79.8,77.4,79.35,79.3,78.8,13612342,107261919020000.0,50571.0,4978676.0,0.3657
2020-08-18,ONGC,EQ,79.3,79.75,81.9,79.15,80.7,80.65,81.0,28330266,229468578465000.0,95412.0,8197064.0,0.2893
2020-08-19,ONGC,EQ,80.65,80.85,81.7,79.1,79.7,79.55,80.58,12081506,97349960205000.0,48643.0,3688459.0,0.3053
2020-08-20,ONGC,EQ,79.55,79.0,83.25,77.9,82.2,82.15,81.15,37457741,303961826230000.0,126214.0,9135945.0,0.2439
2020-08-21,ONGC,EQ,82.15,82.95,83.45,80.65,81.25,81.05,82.08,17027759,139763869870000.0,76104.0,5424049.0,0.3185
2020-08-24,ONGC,EQ,81.05,81.3,81.85,80.6,81.1,81.25,81.24,9798867,79610487095000.0,43093.0,2461141.0,0.25120000000000003
2020-08-25,ONGC,EQ,81.25,81.4,82.5,80.2,80.7,80.5,81.04,22481154,182194884270000.0,79031.0,6248870.0,0.278
2020-08-26,ONGC,EQ,80.5,81.2,82.1,80.75,81.4,81.4,81.52,15968479,130171366655000.0,59334.0,4311541.0,0.27
2020-08-27,ONGC,EQ,81.4,81.8,81.95,80.0,80.35,80.15,80.73,16309200,131668523765000.02,58584.0,6023705.0,0.3693
2020-08-28,ONGC,EQ,80.15,80.35,81.8,80.0,80.45,80.35,80.97,14667141,118763400705000.0,52620.0,4161873.0,0.2838
2020-08-31,ONGC,EQ,80.35,81.0,85.5,80.9,81.85,81.95,83.31,93193563,776380350330000.0,279000.0,21368248.0,0.2293
